names,Price,Area,Unit Type
Salarpuria Sattva Cadenza,39 L -41.65 L,755 sq.ft,1 BHK Apartment
Salarpuria Sattva Cadenza,55 L -75 L,1175-1275 sq.ft,2 BHK Apartment
Salarpuria Sattva Cadenza,70.04 L -73.30 L,1335-1340 sq.ft,2.5 BHK Apartment
Salarpuria Sattva Cadenza,65 L -95 L,1365-1595 sq.ft,3 BHK Apartment
Purva Skydale,76.25 L -1.75 Cr,1273-1371 sq.ft,2 BHK Apartment
Purva Skydale,93 L -1.58 Cr,1625-1929 sq.ft,3 BHK Apartment
Shriram Summitt,41.76 L -54 L,714 sq.ft,1 BHK Apartment
Shriram Summitt,69.20 L -1.21 Cr,1183-1547 sq.ft,2 BHK Apartment
Shriram Summitt,,1564 sq.ft,2.5 BHK Apartment
Shriram Summitt,75 L -1.43 Cr,1564-1850 sq.ft,3 BHK Apartment
Shriram Luxor,56.64 L -80.06 L,1195 sq.ft,2 BHK Apartment
Shriram Luxor,67 L -80.06 L,1400-1440 sq.ft,2.5 BHK Apartment
Shriram Luxor,70.56 L -1.10 Cr,1550 sq.ft,3 BHK Apartment
Salarpuria Sattva East Crest,29.84 L -39.47 L,598 sq.ft,1 BHK Apartment
Salarpuria Sattva East Crest,54.26 L -77.49 L,1157-1182 sq.ft,2 BHK Apartment
Salarpuria Sattva East Crest,65.84 L -98.65 L,1404-1533 sq.ft,3 BHK Apartment
Ecolife Elements Of Nature,33 L,651 sq.ft,1 BHK Apartment
Ecolife Elements Of Nature,46 L -77 L,910-1330 sq.ft,2 BHK Apartment
Ecolife Elements Of Nature,70 L -91 L,1385-1595 sq.ft,3 BHK Apartment
Shriram Greenfield Phase 1,38.14 L -75 L,935-1065 sq.ft,2 BHK Apartment
Shriram Greenfield Phase 1,59 L -66 L,1165-1225 sq.ft,2.5 BHK Apartment
Shriram Greenfield Phase 1,55.08 L -72.68 L,1350 sq.ft,3 BHK Apartment
Provident Sunworth,34.75 L -52 L,883 sq.ft,2 BHK Apartment
